userID,sequence_length,start_poi,end_poi,poi_sequence
442,8,21,9,21;17;7;15;25;2;8;9
444,3,15,0,15;25;0
448,7,6,24,6;14;25;7;15;2;24
450,4,3,15,3;7;0;15
452,3,21,25,21;1;25
457,3,15,3,15;7;3
457,3,1,15,1;7;15
459,4,25,14,25;6;13;14
462,3,13,24,13;17;24
462,4,11,24,11;13;6;24
465,6,6,3,6;13;16;25;7;3
470,7,21,1,21;15;7;25;0;3;1
472,3,16,2,16;17;2
477,7,0,16,0;25;7;17;2;13;16
486,3,3,0,3;16;0
493,4,0,13,0;7;25;13
498,4,13,7,13;10;17;7
500,4,2,10,2;25;7;10
500,4,7,18,7;11;10;18
500,4,7,25,7;24;2;25
504,3,16,13,16;0;13
504,4,15,25,15;16;7;25
505,3,3,7,3;25;7
510,3,7,13,7;14;13
530,3,0,25,0;1;25
536,5,13,7,13;17;8;6;7
536,4,25,6,25;3;22;6
538,4,5,2,5;3;21;2
542,3,21,10,21;8;10
546,3,10,13,10;16;13
546,4,10,2,10;0;25;2
546,3,21,8,21;9;8
553,6,25,16,25;14;6;24;0;16
554,9,3,14,3;1;7;25;0;10;16;13;14
554,5,0,15,0;21;8;9;15
556,4,25,7,25;0;16;7
557,7,6,24,6;14;25;7;15;2;24
561,3,16,2,16;17;2
565,3,17,6,17;25;6
569,3,7,5,7;0;5
569,3,6,14,6;13;14
570,3,0,22,0;3;22
570,3,16,5,16;13;5
577,3,2,6,2;7;6
578,5,6,7,6;20;0;25;7
588,4,16,21,16;25;7;21
589,4,7,17,7;0;15;17
592,3,6,3,6;17;3
595,4,21,7,21;25;1;7
596,3,7,0,7;6;0
602,5,25,6,25;0;13;17;6
619,3,7,0,7;25;0
624,4,2,14,2;25;13;14
627,3,17,20,17;13;20
627,3,25,16,25;0;16
627,3,25,24,25;13;24
630,3,7,25,7;0;25
635,5,13,2,13;16;25;7;2
635,4,13,15,13;7;23;15
635,3,8,24,8;9;24
640,5,1,8,1;3;9;21;8
641,4,13,17,13;25;0;17
644,7,17,15,17;3;1;22;5;2;15
644,5,25,6,25;0;16;14;6
644,4,0,17,0;13;6;17
645,4,6,25,6;17;7;25
645,3,25,2,25;0;2
645,5,21,1,21;8;9;3;1
645,3,2,7,2;25;7
650,3,2,21,2;7;21
651,3,17,2,17;6;2
652,3,7,17,7;2;17
655,4,3,16,3;7;25;16
656,3,7,2,7;25;2
656,6,10,6,10;16;14;25;2;6
656,3,17,2,17;21;2
657,4,25,24,25;0;7;24
657,3,13,17,13;6;17
658,3,0,6,0;13;6
658,5,14,6,14;25;0;7;6
662,4,6,14,6;7;25;14
665,3,13,21,13;7;21
665,3,0,2,0;7;2
669,6,13,3,13;16;20;25;7;3
669,4,1,13,1;3;7;13
673,5,6,14,6;7;15;13;14
681,5,7,6,7;25;3;2;6
681,4,2,7,2;15;24;7
683,4,13,7,13;6;14;7
683,3,7,1,7;3;1
693,3,6,9,6;7;9
696,5,0,2,0;7;25;13;2
696,6,3,16,3;9;5;22;6;16
696,3,17,25,17;7;25
699,3,25,8,25;17;8
709,5,21,6,21;9;8;17;6
710,3,6,0,6;25;0
720,5,7,14,7;6;15;25;14
720,3,0,7,0;25;7
720,9,7,9,7;15;2;10;0;16;24;8;9
722,6,7,25,7;16;13;14;6;25
722,3,7,0,7;25;0
724,7,21,0,21;8;25;7;15;1;0
727,8,17,0,17;8;7;25;6;2;15;0
730,4,25,2,25;0;7;2
732,5,17,20,17;6;13;16;20
733,3,13,7,13;14;7
733,3,7,2,7;0;2
740,3,25,6,25;7;6
764,3,24,7,24;25;7
769,3,0,17,0;7;17
772,7,13,6,13;25;0;14;7;9;6
774,4,7,0,7;25;16;0
778,4,7,6,7;0;16;6
778,6,7,6,7;0;25;13;16;6
779,3,6,10,6;13;10
780,4,0,7,0;2;13;7
784,3,0,25,0;13;25
785,3,0,13,0;7;13
787,10,6,17,6;16;0;2;25;21;3;22;1;17
791,4,17,0,17;13;10;0
794,3,3,25,3;7;25
799,5,25,17,25;7;21;2;17
801,7,13,9,13;7;15;3;1;8;9
801,3,25,14,25;0;14
801,5,9,14,9;6;0;1;14
812,6,7,13,7;25;17;0;6;13
812,4,3,17,3;1;7;17
815,5,6,17,6;15;25;3;17
816,3,0,7,0;2;7
818,4,2,0,2;6;13;0
833,4,1,6,1;3;8;6
833,4,7,2,7;25;0;2
833,5,7,8,7;14;17;9;8
833,4,1,8,1;3;9;8
834,3,7,13,7;16;13
834,3,6,25,6;17;25
836,3,3,22,3;24;22
836,3,2,25,2;6;25
836,3,15,17,15;2;17
837,3,25,17,25;6;17
846,3,7,1,7;3;1
848,6,21,3,21;0;16;1;8;3
848,3,22,3,22;2;3
862,10,13,8,13;24;6;10;0;25;21;17;7;8
873,3,17,6,17;0;6
873,6,7,17,7;6;25;14;13;17
877,4,6,0,6;14;25;0
878,5,17,14,17;7;15;6;14
888,6,17,13,17;6;7;25;14;13
895,3,13,17,13;3;17
896,4,25,1,25;7;3;1
897,3,7,1,7;3;1
900,3,8,17,8;9;17
904,3,20,13,20;25;13
907,5,15,9,15;25;0;7;9
909,3,16,7,16;0;7
909,4,21,17,21;8;9;17
909,5,21,14,21;9;8;6;14
909,3,2,24,2;6;24
910,3,3,2,3;7;2
910,3,7,16,7;13;16
913,3,25,24,25;7;24
913,3,25,0,25;12;0
913,3,5,7,5;15;7
914,3,7,6,7;25;6
917,6,25,17,25;0;2;13;14;17
917,6,3,13,3;1;7;25;6;13
917,4,0,7,0;25;6;7
917,6,9,6,9;25;0;7;15;6
917,5,2,7,2;8;9;0;7
926,3,7,17,7;15;17
935,6,17,7,17;6;14;25;0;7
936,4,9,14,9;8;17;14
939,6,11,1,11;6;7;25;3;1
945,5,0,16,0;6;8;25;16
945,5,6,0,6;8;3;25;0
945,3,6,25,6;0;25
945,5,8,6,8;1;3;0;6
945,6,16,8,16;25;3;6;2;8
947,3,0,7,0;25;7
952,3,0,22,0;2;22
956,4,17,25,17;6;7;25
960,3,0,16,0;25;16
961,4,16,17,16;13;10;17
961,3,25,7,25;15;7
965,3,7,0,7;25;0
968,3,0,17,0;16;17
974,5,9,16,9;8;13;3;16
976,8,0,17,0;25;2;7;15;9;1;17
980,4,9,15,9;7;25;15
988,4,0,1,0;25;7;1
989,4,7,14,7;2;15;14
991,4,0,13,0;25;7;13
993,3,7,6,7;25;6
996,6,8,0,8;9;3;25;15;0
996,4,22,10,22;5;15;10
996,3,2,7,2;15;7
999,3,11,0,11;6;0
999,4,7,21,7;25;6;21
1001,3,7,25,7;15;25
1001,3,1,3,1;22;3
1001,7,0,14,0;25;7;17;6;13;14
1007,3,2,14,2;25;14
1013,13,0,22,0;25;7;17;21;8;9;6;14;13;16;3;22
1014,3,7,14,7;25;14
1018,5,6,19,6;13;7;17;19
1020,3,6,25,6;14;25
1028,3,25,13,25;16;13
1036,3,25,2,25;0;2
1040,3,2,6,2;11;6
1040,3,1,21,1;3;21
1040,3,9,21,9;8;21
1041,3,6,15,6;13;15
1042,8,16,7,16;1;5;6;17;14;13;7
1042,3,25,6,25;0;6
1042,4,2,13,2;25;14;13
1045,5,12,0,12;10;16;14;0
1047,8,16,11,16;13;14;25;7;2;24;11
1048,3,9,1,9;8;1
1051,3,0,7,0;25;7
1051,3,14,16,14;13;16
1051,3,18,17,18;20;17
1051,3,22,6,22;17;6
1054,3,11,17,11;6;17
1056,3,25,8,25;9;8
1060,3,25,3,25;7;3
1060,4,7,13,7;15;2;13
1066,4,2,13,2;0;3;13
1067,4,15,3,15;7;25;3
1067,3,7,6,7;24;6
1069,3,0,1,0;3;1
1073,5,25,13,25;0;12;14;13
1077,3,2,16,2;11;16
1078,4,7,17,7;24;25;17
1079,3,0,7,0;25;7
1079,9,20,21,20;16;0;14;25;7;15;17;21
1080,6,13,16,13;7;2;24;25;16
1082,6,0,5,0;25;7;3;1;5
1082,7,17,13,17;9;8;6;20;16;13
1082,8,17,13,17;7;15;25;3;1;6;13
1093,4,14,8,14;0;21;8
1099,4,7,16,7;25;13;16
1099,3,7,16,7;14;16
1099,3,15,0,15;7;0
1099,3,11,2,11;24;2
1099,4,15,13,15;7;14;13
1099,3,7,14,7;13;14
1099,3,7,24,7;25;24
1099,3,11,2,11;24;2
1099,3,15,6,15;7;6
1099,4,7,10,7;25;13;10
1099,3,6,20,6;13;20
1099,3,15,25,15;7;25
1099,4,24,12,24;2;15;12
1099,3,7,13,7;14;13
1099,3,15,13,15;7;13
1099,4,14,13,14;2;3;13
1099,5,25,10,25;6;13;16;10
1099,5,15,10,15;7;25;0;10
1099,3,24,13,24;6;13
1099,4,25,14,25;6;13;14
1099,4,6,14,6;17;13;14
1099,4,13,24,13;14;7;24
1099,4,7,12,7;13;16;12
1099,3,7,20,7;13;20
1099,3,24,20,24;7;20
1099,6,15,12,15;7;25;0;10;12
1099,4,15,2,15;7;25;2
1099,3,17,13,17;6;13
1099,3,7,12,7;10;12
1099,3,6,16,6;17;16
1099,4,15,14,15;7;25;14
1099,3,13,6,13;14;6
1099,6,21,20,21;8;9;13;6;20
1099,3,7,0,7;10;0
1100,3,7,16,7;13;16
1102,7,6,3,6;25;14;17;21;9;3
1104,5,6,2,6;9;15;0;2
1111,3,16,25,16;24;25
1117,3,0,7,0;25;7
1120,3,25,2,25;0;2
1125,10,6,17,6;7;25;14;0;15;3;1;2;17
1125,5,17,25,17;15;7;6;25
1125,7,7,17,7;15;25;2;13;6;17
1126,3,7,12,7;17;12
1126,7,17,16,17;21;11;2;13;12;16
1126,4,2,15,2;10;25;15
1126,3,10,11,10;2;11
1126,6,22,2,22;6;13;21;3;2
1126,4,2,7,2;13;14;7
1129,4,7,10,7;25;0;10
1130,4,6,9,6;7;14;9
1133,8,1,17,1;22;7;25;14;13;6;17
1134,5,17,25,17;6;13;16;25
1141,4,0,1,0;7;3;1
1141,3,13,25,13;7;25
1141,3,10,17,10;2;17
1141,3,25,6,25;13;6
1152,3,1,7,1;25;7
1154,5,7,16,7;25;17;6;16
1157,3,15,5,15;22;5
1161,4,6,15,6;13;16;15
1170,3,25,17,25;7;17
1171,6,2,9,2;3;5;21;8;9
1171,5,7,16,7;3;1;6;16
1172,3,6,13,6;14;13
1178,5,6,7,6;13;25;0;7
1186,6,14,0,14;3;1;15;7;0
1186,3,8,21,8;9;21
1187,7,17,21,17;7;25;0;3;1;21
1189,5,0,21,0;25;1;3;21
1191,4,0,16,0;9;13;16
1193,3,7,25,7;2;25
1193,5,21,1,21;9;17;3;1
1196,3,0,5,0;22;5
1200,7,10,16,10;0;25;7;6;13;16
1202,3,0,7,0;15;7
1204,10,25,13,25;7;17;21;9;8;5;1;14;13
1209,3,17,0,17;25;0
1211,4,7,13,7;25;2;13
1216,3,8,9,8;21;9
1217,3,21,9,21;8;9
1233,3,6,0,6;17;0
1235,3,0,10,0;7;10
1237,6,21,3,21;2;25;0;7;3
1238,4,0,25,0;14;6;25
1238,3,25,14,25;6;14
1239,5,6,25,6;14;17;13;25
1239,7,8,2,8;9;21;17;7;15;2
1241,8,16,17,16;13;6;0;25;3;1;17
1242,4,5,13,5;21;9;13
1245,5,7,8,7;15;25;6;8
1245,13,24,21,24;7;0;14;6;13;25;17;8;1;3;9;21
1245,9,8,16,8;9;3;1;25;0;14;6;16
1245,3,8,7,8;17;7
1247,4,25,7,25;0;16;7
1247,3,15,8,15;7;8
1251,6,16,2,16;25;7;3;8;2
1251,8,25,16,25;7;15;2;24;13;20;16
1258,3,8,11,8;21;11
1258,3,25,2,25;24;2
1258,5,5,17,5;7;13;6;17
1263,9,0,16,0;25;7;3;21;17;1;15;16
1263,7,15,3,15;24;25;0;14;2;3
1264,4,7,13,7;25;0;13
1269,5,24,7,24;20;17;25;7
1270,5,13,0,13;17;7;25;0
1270,3,17,9,17;21;9
1271,8,25,11,25;0;7;15;17;14;2;11
1271,7,10,15,10;7;24;11;2;17;15
1273,3,24,8,24;21;8
1276,6,25,17,25;0;7;6;3;17
1281,4,0,13,0;25;1;13
1283,5,16,17,16;15;22;3;17
1285,3,13,7,13;6;7
1286,4,22,21,22;3;9;21
1287,6,0,9,0;25;2;7;21;9
1288,4,13,7,13;0;25;7
1298,3,11,25,11;7;25
1298,3,25,7,25;2;7
1305,3,7,12,7;0;12
1305,3,13,10,13;7;10
1305,3,7,13,7;21;13
1305,3,7,13,7;17;13
1305,4,16,2,16;15;13;2
1305,3,2,16,2;17;16
1305,4,3,16,3;22;7;16
1305,5,22,13,22;3;9;21;13
1305,3,13,7,13;25;7
1305,4,2,9,2;7;0;9
1314,4,9,8,9;2;7;8
1322,3,7,2,7;15;2
1322,4,25,2,25;7;15;2
1322,6,7,8,7;5;3;9;21;8
1325,7,17,13,17;21;9;8;25;14;13
1325,3,25,17,25;0;17
1325,7,3,6,3;22;1;17;16;13;6
1325,8,16,14,16;2;3;22;17;6;25;14
1326,3,25,0,25;7;0
1326,4,10,7,10;25;15;7
1327,3,2,13,2;15;13
1332,3,4,25,4;16;25
1333,6,13,0,13;20;14;25;7;0
1334,3,22,6,22;0;6
1334,3,17,24,17;7;24
1343,3,6,10,6;9;10
1346,5,6,7,6;13;14;25;7
1348,3,25,7,25;0;7
1348,8,3,6,3;1;22;21;17;8;9;6
1357,3,13,17,13;6;17
1358,5,17,13,17;6;7;16;13
1358,3,22,1,22;5;1
1367,4,2,8,2;7;25;8
1375,3,0,13,0;7;13
1375,3,7,17,7;25;17
1375,3,0,17,0;25;17
1376,3,25,7,25;15;7
1377,6,16,7,16;25;6;10;0;7
1377,3,13,25,13;7;25
1387,5,0,17,0;13;6;25;17
1387,10,6,17,6;0;10;25;2;24;15;3;1;17
1387,4,17,13,17;6;0;13
1387,12,13,15,13;17;20;6;23;0;25;2;1;8;7;15
1388,3,13,25,13;6;25
1398,3,16,6,16;13;6
1398,5,10,3,10;0;25;7;3
1398,3,16,20,16;23;20
1399,3,17,14,17;6;14
1402,3,9,15,9;7;15
1402,5,6,2,6;9;0;25;2
1404,3,13,25,13;17;25
1411,7,8,15,8;9;3;7;25;0;15
1419,3,21,0,21;17;0
1420,4,0,2,0;25;7;2
1420,4,25,15,25;2;7;15
1422,4,3,8,3;9;22;8
1422,4,15,24,15;2;11;24
1424,7,6,3,6;7;25;0;21;1;3
1425,3,0,6,0;17;6
1427,6,17,7,17;6;14;13;0;7
1436,3,7,18,7;22;18
1438,3,7,8,7;9;8
1443,3,25,14,25;6;14
1451,3,3,22,3;1;22
1451,3,13,3,13;6;3
1453,3,6,0,6;13;0
