userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
210,3,7,19,7;12;19,0;4;1,29;29;32
217,4,1,0,1;17;13;0,6;1;4;6,23;24;24;24
218,4,19,1,19;7;6;1,1;0;0;6,26;26;26;34
218,3,12,15,12;7;15,4;0;5,5;5;7
221,7,17,12,17;13;0;20;6;7;12,1;4;6;1;0;0;4,26;26;26;28;28;28;29
221,3,23,1,23;13;1,5;4;6,3;4;6
235,3,7,20,7;6;20,0;0;1,25;25;27
239,3,20,16,20;10;16,1;3;5,1;2;5
240,4,8,6,8;0;13;6,0;6;4;0,41;43;43;46
254,3,13,17,13;1;17,4;6;1,24;25;25
258,3,0,1,0;17;1,6;1;6,26;27;29
271,3,20,6,20;7;6,1;0;0,16;18;18
280,4,10,20,10;22;1;20,3;5;6;1,20;23;23;25
282,3,0,16,0;1;16,6;6;5,37;37;37
284,5,1,17,1;10;6;13;17,6;3;0;4;1,0;1;2;4;4
301,3,1,20,1;16;20,6;5;1,26;27;27
311,3,8,22,8;9;22,0;0;5,32;32;34
314,3,10,9,10;22;9,3;5;0,0;7;7
314,4,8,1,8;22;16;1,0;5;5;6,0;2;2;2
320,5,1,7,1;17;13;10;7,6;1;4;3;0,30;30;30;31;32
321,3,13,17,13;1;17,4;6;1,25;26;27
321,3,9,1,9;16;1,0;5;6,44;44;45
324,5,16,0,16;22;9;13;0,5;5;0;4;6,30;31;31;31;31
337,3,6,12,6;7;12,0;0;4,2;3;4
337,3,6,0,6;7;0,0;0;6,27;30;36
339,5,0,3,0;13;1;20;3,6;4;6;1;6,21;25;26;27;32
347,5,7,17,7;12;8;13;17,0;4;0;4;1,1;2;4;4;4
349,3,1,9,1;22;9,6;5;0,26;27;32
353,4,17,16,17;1;15;16,1;6;5;5,29;29;34;36
356,4,1,22,1;13;17;22,6;4;1;5,26;27;28;31
378,3,13,9,13;5;9,4;0;0,24;25;27
384,3,10,8,10;0;8,3;6;0,28;29;30
391,3,15,20,15;19;20,5;1;1,30;32;32
414,3,5,13,5;17;13,0;1;4,7;8;8
415,3,12,9,12;17;9,4;1;0,37;37;37
418,3,16,1,16;13;1,5;4;6,5;6;7
429,3,16,13,16;1;13,5;6;4,6;6;6
430,4,17,8,17;13;16;8,1;4;5;0,24;25;26;26
430,3,8,7,8;16;7,0;5;0,24;25;33
434,3,0,10,0;13;10,6;4;3,44;45;46
445,3,0,16,0;13;16,6;4;5,31;32;33
447,4,16,13,16;1;17;13,5;6;1;4,27;28;28;28
447,5,17,1,17;13;9;16;1,1;4;0;5;6,29;29;29;33;33
447,3,0,8,0;13;8,6;4;0,5;6;9
453,3,0,1,0;17;1,6;1;6,26;26;26
464,3,20,16,20;7;16,1;0;5,6;6;9
469,3,10,22,10;1;22,3;6;5,3;4;8
470,3,1,10,1;17;10,6;1;3,7;7;9
494,3,17,1,17;13;1,1;4;6,5;5;6
494,3,13,16,13;17;16,4;1;5,1;2;5
494,3,13,16,13;17;16,4;1;5,1;3;5
494,4,1,17,1;13;0;17,6;4;6;1,23;24;24;24
498,3,7,1,7;9;1,0;0;6,29;32;40
498,4,7,12,7;6;20;12,0;0;1;4,1;1;1;1
500,3,1,10,1;7;10,6;0;3,24;25;25
508,3,1,17,1;13;17,6;4;1,2;3;3
511,5,20,1,20;6;7;0;1,1;0;0;6;6,27;27;27;28;29
513,6,17,1,17;13;21;8;10;1,1;4;5;0;3;6,27;27;29;32;34;34
517,4,13,0,13;16;23;0,4;5;5;6,25;25;27;29
539,3,12,6,12;7;6,4;0;0,25;25;26
552,3,13,1,13;17;1,4;1;6,24;25;25
557,3,21,20,21;14;20,5;1;1,24;26;29
563,4,1,10,1;17;0;10,6;1;6;3,23;23;24;24
571,3,13,0,13;17;0,4;1;6,28;29;30
592,3,20,22,20;8;22,1;0;5,33;34;34
596,3,10,17,10;1;17,3;6;1,5;6;6
