userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
183,4,23,13,23;9;8;13,5;5;5;5,44;44;44;44
186,3,34,77,34;30;77,2;2;4,28;30;30
197,3,68,72,68;73;72,3;8;3,24;26;28
200,3,30,39,30;0;39,2;0;2,38;38;38
201,4,23,34,23;17;49;34,5;5;7;2,30;30;30;31
203,6,34,0,34;44;68;65;49;0,2;7;3;3;7;0,23;24;24;25;27;27
204,11,19,4,19;2;39;34;8;17;14;41;37;79;4,5;0;2;2;5;5;5;2;2;3;0,47;47;47;3;4;4;4;5;5;5;5
215,6,22,16,22;18;8;31;79;16,5;5;5;2;3;5,25;25;25;26;26;26
224,3,70,19,70;37;19,3;2;5,22;22;22
224,5,64,22,64;71;73;48;22,3;3;8;7;5,27;28;28;29;32
224,4,14,79,14;67;31;79,5;3;2;3,33;35;35;35
230,5,77,2,77;78;49;17;2,4;6;7;5;0,27;27;27;27;29
230,3,40,9,40;22;9,2;5;5,2;3;5
231,4,40,26,40;79;22;26,2;3;5;1,0;0;0;7
238,5,78,25,78;77;13;43;25,6;4;5;7;1,24;24;27;28;28
238,5,24,78,24;23;21;47;78,5;5;5;7;6,44;46;2;4;6
239,5,45,68,45;74;34;49;68,7;8;2;7;3,36;36;36;36;36
242,6,80,25,80;57;78;8;63;25,8;6;6;5;3;1,19;21;23;31;33;33
247,4,34,14,34;67;18;14,2;3;5;5,39;39;39;39
249,3,9,31,9;34;31,5;2;2,26;26;27
255,3,13,38,13;77;38,5;4;2,44;45;45
257,4,30,31,30;68;49;31,2;3;7;2,15;16;16;16
260,4,26,68,26;15;40;68,1;5;2;3,15;16;18;19
265,12,49,77,49;66;47;27;29;61;54;65;68;30;43;77,7;3;7;1;4;3;6;3;3;2;7;4,23;23;23;27;28;29;29;29;29;30;31;32
265,4,77,49,77;65;68;49,4;3;3;7,24;24;25;25
266,4,79,22,79;40;31;22,3;2;2;5,20;20;20;20
266,8,30,23,30;0;43;77;67;34;9;23,2;0;7;4;3;2;5;5,33;33;34;34;34;35;35;35
266,3,22,39,22;9;39,5;5;2,1;2;3
266,8,49,22,49;13;8;0;43;79;40;22,7;5;5;0;7;3;2;5,46;47;47;0;0;2;2;2
267,20,41,25,41;31;9;34;8;17;13;15;78;49;68;77;43;44;14;80;1;52;27;25,2;2;5;2;5;5;5;5;6;7;3;4;7;7;5;8;0;6;1;1,20;20;20;20;20;20;21;21;21;21;21;21;21;21;22;24;25;26;26;27
271,4,78,15,78;68;49;15,6;3;7;5,19;19;19;19
271,4,41,49,41;68;13;49,2;3;5;7,22;24;24;24
277,3,31,55,31;17;55,2;5;6,25;28;29
278,3,49,61,49;65;61,7;3;3,25;25;25
280,4,27,35,27;34;66;35,1;2;3;2,26;28;30;30
281,3,15,8,15;14;8,5;5;5,5;5;5
281,4,31,24,31;40;35;24,2;2;2;5,30;33;33;33
281,4,18,14,18;68;8;14,5;3;5;5,5;6;8;10
281,3,43,68,43;30;68,7;2;3,27;27;28
285,4,45,78,45;68;31;78,7;3;2;6,19;19;19;19
291,4,58,10,58;53;66;10,6;6;3;5,15;15;15;16
292,3,17,35,17;68;35,5;3;2,35;36;38
293,3,78,44,78;43;44,6;7;7,4;5;6
304,4,27,13,27;78;34;13,1;6;2;5,22;23;24;26
305,12,19,71,19;21;16;79;40;34;67;68;77;43;0;71,5;5;5;3;2;2;3;3;4;7;0;3,35;0;0;0;0;1;1;1;1;1;1;2
306,7,68,9,68;34;18;77;43;17;9,3;2;5;4;7;5;5,1;2;2;2;2;3;3
325,5,4,30,4;68;77;43;30,0;3;4;7;2,23;24;25;25;25
325,5,9,65,9;31;15;49;65,5;2;5;7;3,31;31;32;32;32
331,5,68,20,68;8;23;30;20,3;5;5;2;5,35;37;38;38;46
345,9,68,50,68;49;78;15;8;31;13;67;50,3;7;6;5;5;2;5;3;6,24;24;25;25;25;25;26;26;33
345,7,31,27,31;9;2;61;65;77;27,2;5;0;3;3;4;1,25;25;25;31;32;32;32
348,4,49,40,49;60;73;40,7;6;8;2,29;29;30;37
349,3,27,78,27;68;78,1;3;6,28;29;32
349,3,26,44,26;77;44,1;4;7,7;8;9
352,3,18,31,18;34;31,5;2;2,28;29;30
352,4,16,31,16;79;34;31,5;3;2;2,27;27;28;28
358,3,49,2,49;68;2,7;3;0,26;28;32
359,5,23,67,23;31;34;49;67,5;2;2;7;3,1;3;4;5;5
361,14,34,68,34;13;17;8;14;50;38;74;55;80;1;27;25;68,2;5;5;5;5;6;2;8;6;8;0;1;1;3,46;46;46;46;46;47;47;47;0;0;2;3;3;4
361,7,79,77,79;40;22;9;48;64;77,3;2;5;5;7;3;4,23;24;24;24;28;30;30
368,3,39,49,39;67;49,2;3;7,19;23;24
375,3,9,45,9;40;45,5;2;7,9;13;15
383,4,68,25,68;31;44;25,3;2;7;1,25;27;30;35
387,3,34,49,34;67;49,2;3;7,8;8;8
389,3,34,8,34;39;8,2;2;5,29;29;30
389,3,14,39,14;34;39,5;2;2,35;36;36
389,3,34,39,34;38;39,2;2;2,20;21;21
389,5,39,14,39;38;2;34;14,2;2;0;2;5,35;35;35;35;36
397,3,67,13,67;49;13,3;7;5,0;0;0
402,8,52,44,52;14;78;9;79;66;48;44,6;5;6;5;3;3;7;7,0;0;0;1;2;2;6;8
402,3,21,27,21;73;27,5;8;1,23;27;35
409,4,77,25,77;43;0;25,4;7;0;1,30;30;30;31
412,4,74,77,74;68;15;77,8;3;5;4,39;39;42;46
414,3,40,79,40;44;79,2;7;3,12;13;13
415,4,34,49,34;40;31;49,2;2;2;7,24;24;26;27
415,4,30,49,30;9;36;49,2;5;2;7,28;29;30;35
416,3,68,44,68;78;44,3;6;7,19;22;23
421,15,5,27,5;44;49;78;14;8;23;9;31;68;77;43;25;67;27,0;7;7;6;5;5;5;5;2;3;4;7;1;3;1,0;0;1;2;5;5;5;5;6;7;7;7;8;9;10
421,4,40,21,40;79;31;21,2;3;2;5,31;32;33;33
421,18,50,42,50;69;66;47;3;24;40;34;67;49;68;77;25;44;43;0;30;42,6;3;3;7;0;5;2;2;3;7;3;4;1;7;7;0;2;7,30;31;31;31;32;34;34;34;35;35;35;35;36;36;36;37;37;37
421,7,2,34,2;39;72;33;48;68;34,0;2;3;2;7;3;2,27;27;29;30;30;31;34
422,3,31,9,31;41;9,2;2;5,27;27;30
430,3,31,67,31;38;67,2;2;3,19;19;22
431,3,74,69,74;38;69,8;2;3,30;30;30
431,4,68,44,68;39;34;44,3;2;2;7,2;3;6;8
431,4,79,31,79;9;23;31,3;5;5;2,4;6;6;8
431,3,31,68,31;40;68,2;2;3,47;3;5
437,3,23,26,23;49;26,5;7;1,1;1;5
439,9,31,35,31;39;50;68;77;22;40;4;35,2;2;6;3;4;5;2;0;2,2;3;4;4;5;5;9;9;9
441,3,80,34,80;77;34,8;4;2,1;7;7
441,4,26,68,26;44;78;68,1;7;6;3,25;31;32;34
444,3,9,68,9;49;68,5;7;3,28;30;30
446,3,30,43,30;72;43,2;3;7,32;32;33
448,3,80,61,80;78;61,8;6;3,4;4;9
450,5,43,77,43;78;22;15;77,7;6;5;5;4,17;17;19;21;21
450,3,79,15,79;43;15,3;7;5,7;8;8
452,3,77,26,77;29;26,4;4;1,5;7;12
452,11,44,25,44;13;49;34;8;18;9;67;68;30;25,7;5;7;2;5;5;5;3;3;2;1,22;24;24;24;24;24;24;26;27;28;29
457,3,77,60,77;43;60,4;7;6,1;1;2
457,4,65,21,65;27;70;21,3;1;3;5,0;5;6;10
459,3,23,31,23;80;31,5;8;2,46;47;0
459,3,68,26,68;34;26,3;2;1,5;5;7
465,3,68,71,68;77;71,3;4;3,1;1;2
470,4,43,34,43;76;68;34,7;8;3;2,25;26;27;27
476,7,78,69,78;68;49;21;31;44;69,6;3;7;5;2;7;3,0;0;2;2;3;4;6
482,3,19,65,19;53;65,5;6;3,4;6;6
483,4,9,80,9;78;25;80,5;6;1;8,46;46;0;1
484,3,40,39,40;9;39,2;5;2,3;4;4
485,3,26,77,26;78;77,1;6;4,1;3;3
489,4,21,22,21;15;78;22,5;5;6;5,45;47;47;4
489,3,22,48,22;26;48,5;1;7,46;0;5
489,3,68,17,68;77;17,3;4;5,8;9;9
489,3,77,65,77;64;65,4;3;3,9;9;10
489,3,2,68,2;39;68,0;2;3,28;28;28
489,3,40,2,40;9;2,2;5;0,0;3;9
491,8,23,59,23;9;34;78;49;68;15;59,5;5;2;6;7;3;5;6,24;24;24;25;25;25;25;25
497,3,29,43,29;30;43,4;2;7,8;8;9
500,7,68,41,68;49;78;17;15;13;41,3;7;6;5;5;5;2,1;2;3;3;3;3;3
507,4,78,49,78;9;67;49,6;5;3;7,45;4;6;6
507,3,9,49,9;67;49,5;3;7,28;33;33
508,3,48,65,48;77;65,7;4;3,25;26;29
510,3,36,22,36;35;22,2;2;5,24;24;30
511,4,39,9,39;68;34;9,2;3;2;5,19;19;20;24
511,3,47,52,47;1;52,7;0;6,1;3;3
512,8,40,78,40;79;9;34;67;49;68;78,2;3;5;2;3;7;3;6,47;0;1;2;3;3;3;3
514,11,44,78,44;49;34;2;22;9;68;69;65;33;78,7;7;2;0;5;5;3;3;3;2;6,37;38;38;38;39;40;41;43;44;45;45
516,4,34,40,34;9;22;40,2;5;5;2,35;37;37;38
523,3,67,68,67;49;68,3;7;3,23;23;24
532,3,43,78,43;49;78,7;7;6,8;10;12
539,4,30,31,30;72;77;31,2;3;4;2,0;1;1;1
540,3,41,67,41;34;67,2;2;3,24;25;25
543,3,80,15,80;78;15,8;6;5,8;8;8
543,3,40,44,40;77;44,2;4;7,28;29;31
547,5,68,15,68;77;43;44;15,3;4;7;7;5,27;27;27;28;28
547,5,80,25,80;52;1;45;25,8;6;0;7;1,28;28;28;30;30
547,8,77,65,77;43;44;29;42;48;64;65,4;7;7;4;7;7;3;3,5;5;5;6;6;6;7;8
547,6,68,8,68;9;31;23;18;8,3;5;2;5;5;5,46;2;2;3;4;4
547,5,1,39,1;67;38;2;39,0;3;2;0;2,0;4;4;5;5
547,5,68,25,68;77;78;44;25,3;4;6;7;1,8;8;9;9;10
556,3,47,64,47;2;64,7;0;3,2;3;4
557,8,78,2,78;31;34;49;23;9;39;2,6;2;2;7;5;5;2;0,1;3;4;4;4;4;6;6
558,3,19,22,19;79;22,5;3;5,0;4;7
558,3,0,77,0;30;77,0;2;4,3;3;5
560,4,78,25,78;63;56;25,6;3;6;1,29;29;29;32
560,5,68,49,68;44;77;65;49,3;7;4;3;7,25;25;26;26;26
565,3,77,9,77;68;9,4;3;5,32;33;33
565,3,37,34,37;19;34,2;5;2,27;27;29
579,4,31,79,31;68;22;79,2;3;5;3,6;6;17;20
589,3,79,22,79;35;22,3;2;5,3;5;7
589,4,38,40,38;49;2;40,2;7;0;2,24;24;24;27
590,6,36,51,36;78;68;65;60;51,2;6;3;3;6;6,31;31;31;32;32;32
594,3,14,26,14;3;26,5;0;1,27;33;36
594,3,16,18,16;78;18,5;6;5,2;4;6
598,4,34,77,34;78;0;77,2;6;0;4,17;17;18;18
598,5,25,65,25;27;49;43;65,1;1;7;7;3,41;41;43;43;43
600,7,14,2,14;13;68;9;38;39;2,5;5;3;5;2;2;0,27;28;28;29;29;29;29
603,3,15,68,15;34;68,5;2;3,47;47;0
603,3,53,54,53;61;54,6;3;6,47;47;2
603,3,50,70,50;41;70,6;2;3,1;3;3
603,3,67,13,67;77;13,3;4;5,7;7;7
603,3,15,80,15;14;80,5;5;8,7;8;8
603,3,39,50,39;38;50,2;2;6,33;33;35
604,5,43,77,43;49;65;68;77,7;7;3;3;4,32;33;33;34;34
605,3,49,72,49;77;72,7;4;3,29;29;29
605,4,21,73,21;44;48;73,5;7;7;8,25;28;29;30
607,3,78,40,78;79;40,6;3;2,28;31;32
610,5,11,9,11;67;34;39;9,5;3;2;2;5,14;14;14;15;15
612,3,68,51,68;65;51,3;3;6,26;27;27
613,3,40,64,40;65;64,2;3;3,25;27;27
615,3,23,18,23;9;18,5;5;5,27;27;27
625,3,55,78,55;65;78,6;3;6,32;32;32
628,8,21,70,21;79;40;68;77;43;44;70,5;3;2;3;4;7;7;3,28;29;30;31;31;32;32;36
628,7,46,70,46;52;43;77;68;49;70,7;6;7;4;3;7;3,2;4;6;6;6;6;10
629,3,38,40,38;74;40,2;8;2,4;4;4
630,10,9,43,9;13;17;40;35;34;68;65;0;43,5;5;5;2;2;2;3;3;0;7,39;40;40;40;41;42;42;43;44;44
630,9,44,9,44;78;79;1;68;49;67;13;9,7;6;3;0;3;7;3;5;5,16;16;17;19;21;21;21;21;21
630,3,68,78,68;49;78,3;7;6,12;20;27
631,4,39,55,39;68;65;55,2;3;3;6,12;12;13;14
644,5,5,34,5;29;30;80;34,0;4;2;8;2,6;6;7;7;8
660,3,34,26,34;79;26,2;3;1,3;4;7
660,4,9,68,9;78;31;68,5;6;2;3,1;2;6;7
662,3,78,17,78;31;17,6;2;5,5;6;7
665,4,66,2,66;78;3;2,3;6;0;0,29;30;30;30
668,3,68,78,68;25;78,3;1;6,44;45;47
669,3,77,74,77;0;74,4;0;8,1;1;3
669,3,78,67,78;68;67,6;3;3,25;25;26
669,3,0,68,0;30;68,0;2;3,2;2;3
670,6,36,78,36;49;68;13;67;78,2;7;3;5;3;6,25;25;25;26;26;26
670,3,9,68,9;34;68,5;2;3,28;28;29
670,4,22,49,22;9;18;49,5;5;5;7,3;4;6;6
670,3,68,67,68;49;67,3;7;3,4;4;5
670,3,9,18,9;31;18,5;2;5,0;2;3
675,6,49,48,49;67;38;39;47;48,7;3;2;2;7;7,46;46;47;47;0;3
675,3,19,31,19;34;31,5;2;2,23;25;25
675,3,31,65,31;14;65,2;5;3,23;24;25
692,3,2,46,2;47;46,0;7;7,25;25;27
695,3,23,9,23;31;9,5;2;5,7;8;11
700,13,77,39,77;0;30;78;49;68;67;34;31;4;40;21;39,4;0;2;6;7;3;3;2;2;0;2;5;2,22;23;23;23;23;23;23;23;23;23;25;25;25
704,4,77,34,77;42;69;34,4;7;3;2,1;2;3;8
706,3,22,48,22;21;48,5;5;7,44;46;3
718,3,34,17,34;67;17,2;3;5,29;29;29
722,3,24,4,24;79;4,5;3;0,18;18;18
724,5,44,34,44;25;78;68;34,7;1;6;3;2,17;18;18;18;18
724,3,17,80,17;8;80,5;5;8,18;18;19
730,5,49,32,49;68;30;48;32,7;3;2;7;2,3;4;4;4;5
730,3,30,49,30;77;49,2;4;7,29;29;29
731,3,43,68,43;0;68,7;0;3,3;3;7
732,6,18,13,18;49;68;23;1;13,5;7;3;5;0;5,23;23;23;24;29;39
734,4,70,31,70;37;9;31,3;2;5;2,47;0;1;1
740,3,44,68,44;78;68,7;6;3,10;10;10
743,7,34,40,34;78;68;65;55;75;40,2;6;3;3;6;8;2,22;22;22;22;23;23;28
743,7,2,48,2;67;49;15;13;31;48,0;3;7;5;5;2;7,46;47;47;47;47;47;3
743,6,77,69,77;43;44;25;45;69,4;7;7;1;7;3,22;22;22;23;23;25
747,3,38,49,38;67;49,2;3;7,24;27;27
748,3,77,44,77;49;44,4;7;7,33;37;42
752,4,25,68,25;27;77;68,1;1;4;3,9;11;11;12
752,3,31,23,31;9;23,2;5;5,1;1;1
755,3,68,36,68;49;36,3;7;2,26;26;29
765,3,23,71,23;78;71,5;6;3,27;28;36
771,3,31,28,31;9;28,2;5;1,32;33;34
776,3,30,11,30;3;11,2;0;5,1;8;10
778,3,9,13,9;8;13,5;5;5,4;4;4
778,8,72,35,72;64;77;68;49;78;9;35,3;3;4;3;7;6;5;2,33;33;34;34;34;34;35;36
785,5,68,49,68;77;44;31;49,3;4;7;2;7,1;1;1;3;5
790,4,68,44,68;78;77;44,3;6;4;7,10;17;17;19
792,3,68,39,68;2;39,3;0;2,6;9;12
793,5,17,78,17;9;38;39;78,5;5;2;2;6,24;29;34;36;37
795,6,68,19,68;66;47;79;40;19,3;3;7;3;2;5,24;25;25;26;26;27
797,6,77,43,77;78;64;61;0;43,4;6;3;3;0;7,8;8;9;10;10;11
797,3,61,54,61;53;54,3;6;6,21;29;30
797,5,79,68,79;65;25;78;68,3;3;1;6;3,3;5;8;8;9
799,4,39,2,39;11;47;2,2;5;7;0,2;4;4;7
799,3,9,40,9;22;40,5;5;2,26;26;26
799,6,72,78,72;42;48;30;77;78,3;7;7;2;4;6,1;1;1;2;3;3
799,3,30,68,30;78;68,2;6;3,24;25;25
799,3,0,22,0;30;22,0;2;5,37;37;37
799,3,9,77,9;22;77,5;5;4,12;12;13
799,5,68,34,68;78;49;67;34,3;6;7;3;2,4;4;4;4;5
799,5,31,34,31;30;23;18;34,2;2;5;5;2,24;26;27;27;28
799,10,14,15,14;17;13;34;77;68;43;30;49;15,5;5;5;2;4;3;7;2;7;5,21;21;22;23;23;24;24;24;26;26
799,5,14,78,14;49;68;77;78,5;7;3;4;6,5;7;7;8;8
802,5,49,50,49;34;39;2;50,7;2;2;0;6,4;4;5;5;5
802,3,80,43,80;45;43,8;7;7,2;3;4
802,6,79,17,79;9;34;67;15;17,3;5;2;3;5;5,7;7;8;8;8;9
802,3,54,53,54;61;53,6;3;6,0;1;4
802,4,9,72,9;34;43;72,5;2;7;3,24;24;25;25
810,4,34,40,34;49;78;40,2;7;6;2,32;35;35;36
816,3,30,16,30;25;16,2;1;5,2;3;7
816,3,67,4,67;0;4,3;0;0,5;6;10
818,3,78,68,78;49;68,6;7;3,40;40;40
818,5,30,35,30;80;27;25;35,2;8;1;1;2,47;47;0;0;4
820,3,3,47,3;68;47,0;3;7,38;40;41
824,4,7,49,7;34;67;49,0;2;3;7,23;23;23;23
824,10,27,31,27;41;37;22;40;36;9;23;8;31,1;2;2;5;2;2;5;5;5;2,24;25;25;28;28;28;29;29;29;29
824,4,39,50,39;38;65;50,2;2;3;6,47;1;1;2
836,3,18,4,18;25;4,5;1;0,13;15;16
836,3,4,18,4;25;18,0;1;5,36;38;39
837,3,19,31,19;23;31,5;5;2,10;12;12
839,3,68,77,68;65;77,3;3;4,31;32;34
845,5,23,3,23;78;68;22;3,5;6;3;5;0,7;7;7;8;8
848,3,79,49,79;15;49,3;5;7,29;29;29
852,3,78,13,78;17;13,6;5;5,10;10;10
853,7,44,49,44;15;78;68;34;67;49,7;5;6;3;2;3;7,31;31;31;31;31;32;32
853,3,77,44,77;43;44,4;7;7,43;43;43
853,3,49,43,49;77;43,7;4;7,9;10;10
855,3,78,68,78;34;68,6;2;3,29;29;29
856,3,52,39,52;35;39,6;2;2,32;33;35
858,3,34,9,34;49;9,2;7;5,3;3;5
858,4,68,77,68;42;48;77,3;7;7;4,23;24;24;25
858,5,8,67,8;34;78;49;67,5;2;6;7;3,46;46;46;47;47
859,3,68,49,68;44;49,3;7;7,25;33;34
860,7,40,49,40;31;19;70;50;34;49,2;2;5;3;6;2;7,0;0;0;1;4;4;5
861,4,65,43,65;78;44;43,3;6;7;7,1;2;2;2
862,4,40,8,40;44;78;8,2;7;6;5,1;3;4;4
862,9,44,49,44;0;43;25;30;77;78;68;49,7;0;7;1;2;4;6;3;7,47;0;1;1;1;3;3;3;5
863,7,25,14,25;50;68;77;0;30;14,1;6;3;4;0;2;5,1;3;4;5;5;5;13
871,4,68,78,68;17;67;78,3;5;3;6,47;0;0;2
872,5,68,77,68;22;3;14;77,3;5;0;5;4,45;45;45;45;45
875,3,28,49,28;31;49,1;2;7,39;42;45
875,4,32,31,32;48;13;31,2;7;5;2,19;20;21;21
875,5,30,45,30;31;68;50;45,2;2;3;6;7,38;41;41;43;47
878,4,77,48,77;43;72;48,4;7;3;7,29;29;29;30
879,5,10,26,10;74;38;39;26,5;8;2;2;1,26;27;27;27;31
879,4,31,26,31;80;30;26,2;8;2;1,26;27;27;27
879,3,39,79,39;78;79,2;6;3,3;6;6
879,4,30,9,30;23;31;9,2;5;2;5,26;31;31;32
879,4,30,34,30;36;77;34,2;2;4;2,5;6;8;11
879,5,23,30,23;8;79;22;30,5;5;3;5;2,25;25;28;30;31
879,10,24,35,24;4;79;9;22;31;18;23;15;35,5;0;3;5;5;2;5;5;5;2,24;24;25;26;26;36;36;36;36;36
879,3,47,31,47;50;31,7;6;2,7;7;12
879,7,2,25,2;34;67;9;77;78;25,0;2;3;5;4;6;1,32;32;32;34;35;35;35
879,8,31,4,31;46;14;9;18;79;35;4,2;7;5;5;5;3;2;0,4;6;7;8;8;8;8;8
879,3,36,10,36;24;10,2;5;5,25;25;30
879,5,38,9,38;66;24;80;9,2;3;5;8;5,0;3;3;6;12
880,3,9,77,9;68;77,5;3;4,29;29;29
880,10,1,0,1;46;27;77;43;44;78;13;17;0,0;7;1;4;7;7;6;5;5;0,47;1;3;7;7;8;8;8;8;8
880,9,38,21,38;2;39;50;35;36;4;40;21,2;0;2;6;2;2;0;2;5,1;2;2;2;4;4;5;6;8
891,3,31,11,31;41;11,2;2;5,5;5;5
891,4,31,11,31;68;41;11,2;3;2;5,7;8;8;8
892,3,9,34,9;68;34,5;3;2,47;47;47
892,11,68,16,68;49;15;34;23;9;65;22;40;19;16,3;7;5;2;5;5;3;5;2;5;5,26;26;27;28;28;28;28;28;28;29;29
896,6,17,39,17;13;49;67;2;39,5;5;7;3;0;2,4;4;4;4;4;5
901,3,17,68,17;14;68,5;5;3,26;26;34
901,3,17,11,17;13;11,5;5;5,1;2;9
901,4,18,31,18;13;17;31,5;5;5;2,24;25;25;27
902,3,69,68,69;38;68,3;2;3,0;0;0
903,4,27,8,27;68;49;8,1;3;7;5,27;27;27;27
903,3,78,28,78;77;28,6;4;1,36;36;41
905,4,7,78,7;79;22;78,0;3;5;6,28;28;28;30
906,3,79,25,79;9;25,3;5;1,4;4;12
906,4,70,26,70;4;3;26,3;0;0;1,24;25;25;30
906,3,9,78,9;25;78,5;1;6,27;27;29
908,4,33,25,33;30;43;25,2;2;7;1,29;31;31;31
908,3,35,22,35;40;22,2;2;5,1;3;3
915,3,49,78,49;68;78,7;3;6,34;34;34
915,15,78,41,78;77;43;44;68;65;55;75;6;74;38;34;9;31;41,6;4;7;7;3;3;6;8;0;8;2;2;5;2;2,23;23;23;24;25;25;26;26;29;30;30;30;30;30;30
915,4,31,76,31;37;80;76,2;2;8;8,23;26;30;30
919,3,80,27,80;14;27,8;5;1,18;18;18
