userID,sequence_length,start_poi,end_poi,poi_sequence
267,20,41,25,41;31;9;34;8;17;13;15;78;49;68;77;43;44;14;80;1;52;27;25
271,4,78,15,78;68;49;15
271,4,41,49,41;68;13;49
277,3,31,55,31;17;55
278,3,49,61,49;65;61
280,4,27,35,27;34;66;35
281,3,15,8,15;14;8
281,4,31,24,31;40;35;24
281,4,18,14,18;68;8;14
281,3,43,68,43;30;68
285,4,45,78,45;68;31;78
291,4,58,10,58;53;66;10
292,3,17,35,17;68;35
293,3,78,44,78;43;44
304,4,27,13,27;78;34;13
305,12,19,71,19;21;16;79;40;34;67;68;77;43;0;71
306,7,68,9,68;34;18;77;43;17;9
325,5,4,30,4;68;77;43;30
325,5,9,65,9;31;15;49;65
331,5,68,20,68;8;23;30;20
345,9,68,50,68;49;78;15;8;31;13;67;50
345,7,31,27,31;9;2;61;65;77;27
348,4,49,40,49;60;73;40
349,3,27,78,27;68;78
349,3,26,44,26;77;44
352,3,18,31,18;34;31
352,4,16,31,16;79;34;31
358,3,49,2,49;68;2
359,5,23,67,23;31;34;49;67
361,14,34,68,34;13;17;8;14;50;38;74;55;80;1;27;25;68
361,7,79,77,79;40;22;9;48;64;77
368,3,39,49,39;67;49
375,3,9,45,9;40;45
383,4,68,25,68;31;44;25
387,3,34,49,34;67;49
389,3,34,8,34;39;8
389,3,14,39,14;34;39
389,3,34,39,34;38;39
389,5,39,14,39;38;2;34;14
397,3,67,13,67;49;13
402,8,52,44,52;14;78;9;79;66;48;44
402,3,21,27,21;73;27
409,4,77,25,77;43;0;25
412,4,74,77,74;68;15;77
414,3,40,79,40;44;79
415,4,34,49,34;40;31;49
415,4,30,49,30;9;36;49
416,3,68,44,68;78;44
421,15,5,27,5;44;49;78;14;8;23;9;31;68;77;43;25;67;27
421,4,40,21,40;79;31;21
421,18,50,42,50;69;66;47;3;24;40;34;67;49;68;77;25;44;43;0;30;42
421,7,2,34,2;39;72;33;48;68;34
422,3,31,9,31;41;9
430,3,31,67,31;38;67
431,3,74,69,74;38;69
431,4,68,44,68;39;34;44
431,4,79,31,79;9;23;31
431,3,31,68,31;40;68
437,3,23,26,23;49;26
439,9,31,35,31;39;50;68;77;22;40;4;35
441,3,80,34,80;77;34
441,4,26,68,26;44;78;68
444,3,9,68,9;49;68
446,3,30,43,30;72;43
448,3,80,61,80;78;61
450,5,43,77,43;78;22;15;77
450,3,79,15,79;43;15
452,3,77,26,77;29;26
452,11,44,25,44;13;49;34;8;18;9;67;68;30;25
457,3,77,60,77;43;60
457,4,65,21,65;27;70;21
459,3,23,31,23;80;31
459,3,68,26,68;34;26
465,3,68,71,68;77;71
470,4,43,34,43;76;68;34
476,7,78,69,78;68;49;21;31;44;69
482,3,19,65,19;53;65
483,4,9,80,9;78;25;80
484,3,40,39,40;9;39
485,3,26,77,26;78;77
489,4,21,22,21;15;78;22
489,3,22,48,22;26;48
489,3,68,17,68;77;17
489,3,77,65,77;64;65
489,3,2,68,2;39;68
489,3,40,2,40;9;2
491,8,23,59,23;9;34;78;49;68;15;59
497,3,29,43,29;30;43
500,7,68,41,68;49;78;17;15;13;41
507,4,78,49,78;9;67;49
507,3,9,49,9;67;49
508,3,48,65,48;77;65
510,3,36,22,36;35;22
511,4,39,9,39;68;34;9
511,3,47,52,47;1;52
512,8,40,78,40;79;9;34;67;49;68;78
514,11,44,78,44;49;34;2;22;9;68;69;65;33;78
516,4,34,40,34;9;22;40
523,3,67,68,67;49;68
532,3,43,78,43;49;78
539,4,30,31,30;72;77;31
540,3,41,67,41;34;67
543,3,80,15,80;78;15
543,3,40,44,40;77;44
547,5,68,15,68;77;43;44;15
547,5,80,25,80;52;1;45;25
547,8,77,65,77;43;44;29;42;48;64;65
547,6,68,8,68;9;31;23;18;8
547,5,1,39,1;67;38;2;39
547,5,68,25,68;77;78;44;25
556,3,47,64,47;2;64
557,8,78,2,78;31;34;49;23;9;39;2
558,3,19,22,19;79;22
558,3,0,77,0;30;77
560,4,78,25,78;63;56;25
560,5,68,49,68;44;77;65;49
565,3,77,9,77;68;9
565,3,37,34,37;19;34
579,4,31,79,31;68;22;79
589,3,79,22,79;35;22
589,4,38,40,38;49;2;40
590,6,36,51,36;78;68;65;60;51
594,3,14,26,14;3;26
594,3,16,18,16;78;18
598,4,34,77,34;78;0;77
598,5,25,65,25;27;49;43;65
600,7,14,2,14;13;68;9;38;39;2
603,3,15,68,15;34;68
603,3,53,54,53;61;54
603,3,50,70,50;41;70
603,3,67,13,67;77;13
603,3,15,80,15;14;80
603,3,39,50,39;38;50
604,5,43,77,43;49;65;68;77
605,3,49,72,49;77;72
605,4,21,73,21;44;48;73
607,3,78,40,78;79;40
610,5,11,9,11;67;34;39;9
612,3,68,51,68;65;51
613,3,40,64,40;65;64
615,3,23,18,23;9;18
625,3,55,78,55;65;78
628,8,21,70,21;79;40;68;77;43;44;70
628,7,46,70,46;52;43;77;68;49;70
629,3,38,40,38;74;40
630,10,9,43,9;13;17;40;35;34;68;65;0;43
630,9,44,9,44;78;79;1;68;49;67;13;9
630,3,68,78,68;49;78
631,4,39,55,39;68;65;55
644,5,5,34,5;29;30;80;34
660,3,34,26,34;79;26
660,4,9,68,9;78;31;68
662,3,78,17,78;31;17
665,4,66,2,66;78;3;2
668,3,68,78,68;25;78
669,3,77,74,77;0;74
669,3,78,67,78;68;67
669,3,0,68,0;30;68
670,6,36,78,36;49;68;13;67;78
670,3,9,68,9;34;68
670,4,22,49,22;9;18;49
670,3,68,67,68;49;67
670,3,9,18,9;31;18
675,6,49,48,49;67;38;39;47;48
675,3,19,31,19;34;31
675,3,31,65,31;14;65
692,3,2,46,2;47;46
695,3,23,9,23;31;9
700,13,77,39,77;0;30;78;49;68;67;34;31;4;40;21;39
704,4,77,34,77;42;69;34
706,3,22,48,22;21;48
718,3,34,17,34;67;17
722,3,24,4,24;79;4
724,5,44,34,44;25;78;68;34
724,3,17,80,17;8;80
730,5,49,32,49;68;30;48;32
730,3,30,49,30;77;49
731,3,43,68,43;0;68
732,6,18,13,18;49;68;23;1;13
734,4,70,31,70;37;9;31
740,3,44,68,44;78;68
743,7,34,40,34;78;68;65;55;75;40
743,7,2,48,2;67;49;15;13;31;48
743,6,77,69,77;43;44;25;45;69
747,3,38,49,38;67;49
748,3,77,44,77;49;44
752,4,25,68,25;27;77;68
752,3,31,23,31;9;23
755,3,68,36,68;49;36
765,3,23,71,23;78;71
771,3,31,28,31;9;28
776,3,30,11,30;3;11
778,3,9,13,9;8;13
778,8,72,35,72;64;77;68;49;78;9;35
785,5,68,49,68;77;44;31;49
790,4,68,44,68;78;77;44
792,3,68,39,68;2;39
793,5,17,78,17;9;38;39;78
795,6,68,19,68;66;47;79;40;19
797,6,77,43,77;78;64;61;0;43
797,3,61,54,61;53;54
797,5,79,68,79;65;25;78;68
799,4,39,2,39;11;47;2
799,3,9,40,9;22;40
799,6,72,78,72;42;48;30;77;78
799,3,30,68,30;78;68
799,3,0,22,0;30;22
799,3,9,77,9;22;77
799,5,68,34,68;78;49;67;34
799,5,31,34,31;30;23;18;34
799,10,14,15,14;17;13;34;77;68;43;30;49;15
799,5,14,78,14;49;68;77;78
802,5,49,50,49;34;39;2;50
802,3,80,43,80;45;43
802,6,79,17,79;9;34;67;15;17
802,3,54,53,54;61;53
802,4,9,72,9;34;43;72
810,4,34,40,34;49;78;40
816,3,30,16,30;25;16
816,3,67,4,67;0;4
818,3,78,68,78;49;68
818,5,30,35,30;80;27;25;35
820,3,3,47,3;68;47
824,4,7,49,7;34;67;49
824,10,27,31,27;41;37;22;40;36;9;23;8;31
824,4,39,50,39;38;65;50
836,3,18,4,18;25;4
836,3,4,18,4;25;18
837,3,19,31,19;23;31
839,3,68,77,68;65;77
845,5,23,3,23;78;68;22;3
848,3,79,49,79;15;49
852,3,78,13,78;17;13
853,7,44,49,44;15;78;68;34;67;49
853,3,77,44,77;43;44
853,3,49,43,49;77;43
855,3,78,68,78;34;68
856,3,52,39,52;35;39
858,3,34,9,34;49;9
858,4,68,77,68;42;48;77
858,5,8,67,8;34;78;49;67
859,3,68,49,68;44;49
860,7,40,49,40;31;19;70;50;34;49
861,4,65,43,65;78;44;43
862,4,40,8,40;44;78;8
862,9,44,49,44;0;43;25;30;77;78;68;49
863,7,25,14,25;50;68;77;0;30;14
871,4,68,78,68;17;67;78
872,5,68,77,68;22;3;14;77
875,3,28,49,28;31;49
875,4,32,31,32;48;13;31
875,5,30,45,30;31;68;50;45
878,4,77,48,77;43;72;48
879,5,10,26,10;74;38;39;26
879,4,31,26,31;80;30;26
879,3,39,79,39;78;79
879,4,30,9,30;23;31;9
879,4,30,34,30;36;77;34
879,5,23,30,23;8;79;22;30
879,10,24,35,24;4;79;9;22;31;18;23;15;35
879,3,47,31,47;50;31
879,7,2,25,2;34;67;9;77;78;25
879,8,31,4,31;46;14;9;18;79;35;4
879,3,36,10,36;24;10
879,5,38,9,38;66;24;80;9
880,3,9,77,9;68;77
880,10,1,0,1;46;27;77;43;44;78;13;17;0
880,9,38,21,38;2;39;50;35;36;4;40;21
891,3,31,11,31;41;11
891,4,31,11,31;68;41;11
892,3,9,34,9;68;34
892,11,68,16,68;49;15;34;23;9;65;22;40;19;16
896,6,17,39,17;13;49;67;2;39
901,3,17,68,17;14;68
901,3,17,11,17;13;11
901,4,18,31,18;13;17;31
902,3,69,68,69;38;68
903,4,27,8,27;68;49;8
903,3,78,28,78;77;28
905,4,7,78,7;79;22;78
906,3,79,25,79;9;25
906,4,70,26,70;4;3;26
906,3,9,78,9;25;78
908,4,33,25,33;30;43;25
908,3,35,22,35;40;22
915,3,49,78,49;68;78
915,15,78,41,78;77;43;44;68;65;55;75;6;74;38;34;9;31;41
915,4,31,76,31;37;80;76
919,3,80,27,80;14;27
919,4,80,79,80;31;23;79
920,3,0,68,0;30;68
925,3,45,34,45;67;34
927,6,68,44,68;35;78;21;9;44
928,3,1,80,1;52;80
932,3,35,16,35;79;16
934,3,68,78,68;49;78
935,3,49,78,49;77;78
939,3,52,0,52;78;0
939,4,55,78,55;51;77;78
941,4,13,16,13;34;21;16
944,8,31,67,31;2;5;9;8;34;38;67
945,4,73,9,73;48;77;9
948,5,19,0,19;31;8;13;0
954,3,64,43,64;25;43
956,11,59,21,59;15;78;49;68;77;43;44;25;39;21
958,3,16,40,16;79;40
959,6,11,23,11;34;9;49;43;23
961,5,34,40,34;68;49;17;40
961,4,47,27,47;19;14;27
962,4,8,24,8;18;35;24
962,3,79,2,79;22;2
963,6,49,34,49;78;77;64;61;34
969,3,14,9,14;15;9
972,5,15,37,15;17;14;80;37
973,4,66,4,66;47;3;4
976,9,5,15,5;25;44;61;2;55;68;49;15
981,3,43,77,43;30;77
983,4,31,67,31;49;68;67
983,13,16,4,16;19;80;68;49;34;67;23;9;22;79;40;4
986,9,21,60,21;31;40;25;80;76;18;68;60
986,4,49,68,49;17;13;68
986,3,80,76,80;15;76
986,3,30,37,30;29;37
987,6,49,40,49;78;68;77;79;40
987,3,68,44,68;77;44
987,6,39,34,39;50;47;80;15;34
993,6,13,78,13;67;15;10;77;78
994,3,27,25,27;45;25
997,3,79,49,79;78;49
999,4,38,48,38;44;0;48
999,5,30,48,30;49;67;68;48
999,3,69,24,69;47;24
999,4,19,24,19;16;4;24
999,3,62,31,62;79;31
999,3,46,80,46;15;80
999,3,31,46,31;52;46
