userID,sequence_length,start_poi,end_poi,poi_sequence
391,5,23,22,23;5;25;17;22
393,3,23,16,23;17;16
396,3,5,12,5;0;12
402,3,19,25,19;6;25
406,3,18,20,18;17;20
417,3,23,22,23;5;22
429,3,23,20,23;17;20
431,6,15,19,15;4;20;8;25;19
433,4,25,16,25;12;6;16
434,3,17,8,17;24;8
438,4,14,16,14;5;18;16
445,3,17,25,17;6;25
445,3,5,25,5;22;25
446,3,17,18,17;23;18
446,3,18,17,18;16;17
455,3,17,0,17;24;0
461,5,6,24,6;12;3;0;24
462,3,25,3,25;19;3
462,3,16,17,16;18;17
462,3,1,10,1;13;10
462,3,6,5,6;12;5
462,3,13,10,13;1;10
462,4,13,8,13;10;22;8
462,5,8,17,8;24;4;18;17
462,3,6,9,6;12;9
462,5,5,18,5;25;17;16;18
462,3,5,24,5;23;24
465,5,25,12,25;17;23;24;12
470,3,17,5,17;8;5
471,3,17,4,17;23;4
474,3,18,16,18;8;16
477,5,4,17,4;16;18;23;17
478,7,17,12,17;23;16;25;0;6;12
485,3,5,4,5;17;4
493,4,25,3,25;5;12;3
502,5,19,16,19;12;25;4;16
502,3,18,17,18;16;17
507,5,18,17,18;9;16;0;17
507,3,16,17,16;12;17
519,7,5,17,5;25;3;12;6;23;17
524,4,12,4,12;25;17;4
538,3,8,18,8;22;18
538,4,16,0,16;4;5;0
538,3,0,5,0;25;5
538,4,19,16,19;23;17;16
542,3,18,16,18;23;16
545,4,16,12,16;23;17;12
553,3,19,12,19;6;12
566,3,17,4,17;20;4
569,3,5,12,5;25;12
571,3,1,13,1;10;13
571,4,17,16,17;23;18;16
571,3,17,16,17;23;16
571,4,16,23,16;18;17;23
573,3,25,5,25;6;5
573,3,20,5,20;0;5
573,3,18,17,18;23;17
604,3,18,16,18;23;16
609,3,8,5,8;24;5
620,3,16,20,16;4;20
624,3,23,3,23;12;3
630,3,19,5,19;25;5
630,5,16,5,16;18;23;17;5
634,3,5,18,5;16;18
639,3,23,18,23;17;18
648,3,4,3,4;12;3
661,4,12,16,12;3;25;16
666,3,4,23,4;17;23
670,5,16,3,16;5;25;12;3
694,3,23,4,23;17;4
702,3,18,2,18;23;2
702,3,18,16,18;22;16
703,3,18,23,18;16;23
705,7,17,25,17;3;12;19;5;4;25
712,3,25,5,25;12;5
716,3,23,16,23;20;16
721,5,24,16,24;4;17;23;16
723,3,6,12,6;3;12
741,3,17,2,17;6;2
741,3,6,17,6;14;17
741,3,6,17,6;12;17
751,3,12,20,12;3;20
753,3,16,17,16;18;17
762,3,12,23,12;5;23
765,3,22,25,22;8;25
768,4,25,17,25;18;16;17
772,5,16,3,16;25;6;12;3
774,6,16,8,16;17;3;12;20;8
776,3,5,4,5;25;4
783,3,20,25,20;5;25
813,3,6,0,6;12;0
818,6,16,2,16;6;17;23;18;2
836,3,23,17,23;18;17
853,5,6,5,6;17;23;12;5
879,3,25,17,25;19;17
879,4,25,16,25;5;18;16
885,3,3,0,3;7;0
893,3,18,12,18;25;12
904,3,17,3,17;23;3
904,3,9,12,9;3;12
912,3,6,25,6;19;25
915,3,4,17,4;16;17
915,3,17,3,17;12;3
915,3,5,20,5;8;20
918,4,17,16,17;23;18;16
928,3,23,12,23;3;12
929,3,1,10,1;13;10
943,3,18,24,18;17;24
959,3,3,6,3;12;6
966,4,5,12,5;17;25;12
985,3,17,23,17;18;23
989,3,17,12,17;24;12
995,4,12,23,12;3;17;23
1002,3,12,3,12;6;3
1011,3,3,6,3;12;6
1021,3,17,25,17;16;25
1027,9,8,1,8;18;2;25;5;12;3;0;1
1027,4,24,25,24;16;2;25
1035,3,22,18,22;24;18
1041,5,12,24,12;25;23;17;24
1045,3,19,6,19;12;6
1051,5,12,20,12;6;25;8;20
1051,4,16,23,16;4;17;23
1065,3,22,6,22;8;6
1070,6,18,16,18;23;17;20;3;16
1080,3,16,18,16;4;18
1099,3,16,25,16;19;25
1100,5,20,23,20;4;17;16;23
1100,3,17,16,17;23;16
1127,3,18,16,18;17;16
1139,3,17,8,17;24;8
1139,5,16,22,16;18;4;20;22
1143,5,12,4,12;6;23;17;4
1143,3,4,8,4;9;8
1151,3,0,23,0;5;23
1177,3,17,23,17;18;23
1184,10,16,14,16;18;23;25;12;0;3;19;5;14
1189,3,23,16,23;18;16
1189,3,8,11,8;14;11
1198,5,25,6,25;17;23;5;6
1204,3,4,8,4;22;8
1208,3,18,25,18;16;25
1215,3,12,6,12;3;6
1218,5,25,16,25;5;17;18;16
1219,3,17,12,17;8;12
1222,4,17,16,17;23;18;16
1222,4,2,20,2;16;17;20
1222,3,3,13,3;1;13
1222,5,5,24,5;17;18;2;24
1222,3,16,2,16;17;2
1222,3,2,18,2;16;18
1222,3,2,17,2;25;17
1222,6,25,12,25;18;16;17;4;12
1222,3,16,0,16;18;0
1222,7,4,5,4;17;23;16;18;25;5
1222,3,16,18,16;17;18
1222,7,2,17,2;16;18;23;5;25;17
1222,6,4,16,4;3;25;5;23;16
1222,6,24,22,24;17;23;18;16;22
1222,4,16,4,16;18;23;4
1222,4,17,8,17;24;19;8
1222,3,23,16,23;17;16
1222,3,1,10,1;13;10
1222,4,5,25,5;23;17;25
1222,4,17,2,17;23;18;2
1222,3,19,14,19;11;14
1222,3,18,16,18;17;16
1222,5,17,23,17;16;2;18;23
1222,3,17,16,17;25;16
1234,8,5,12,5;23;18;16;2;3;6;12
1238,5,25,18,25;0;6;12;18
1258,3,9,12,9;19;12
1267,3,5,25,5;12;25
1279,3,5,6,5;12;6
1283,4,25,12,25;5;19;12
1283,5,25,5,25;12;3;0;5
1293,5,4,6,4;12;8;3;6
1294,5,23,5,23;17;12;25;5
1297,4,2,4,2;16;17;4
1303,4,17,12,17;16;4;12
1312,3,5,12,5;17;12
1315,3,17,18,17;23;18
1315,3,18,12,18;17;12
1327,4,8,5,8;19;12;5
1328,4,4,23,4;8;16;23
1329,3,17,6,17;12;6
1333,3,23,18,23;16;18
1333,3,10,13,10;1;13
1335,4,20,16,20;17;18;16
1336,3,16,23,16;18;23
1345,3,5,8,5;12;8
1351,3,5,6,5;25;6
1362,3,1,13,1;10;13
1369,3,23,12,23;3;12
1370,4,18,19,18;23;5;19
1374,3,0,3,0;25;3
1374,3,17,16,17;18;16
1382,3,20,6,20;24;6
1382,3,23,25,23;16;25
1384,3,16,23,16;18;23
1384,9,8,11,8;24;4;17;23;5;25;0;11
1390,3,12,24,12;17;24
1392,8,8,16,8;24;9;25;1;18;5;16
1393,3,17,16,17;23;16
1393,3,23,16,23;18;16
1393,5,18,2,18;25;17;23;2
